Identifier	Synonym
Cre07.g327250	
Cre07.g351700	
Cre07.g353250	
Cre07.g321650	CYCL1
Cre07.g323350	
Cre07.g356050	
Cre07.g326626	
Cre07.g334100	GNOM
Cre07.g325850	MAW8
Cre07.g333711	
Cre07.g328350	FAP207
Cre07.g324932	
Cre07.g353600	MMP7
Cre07.g329450	
Cre07.g321050	
Cre07.g323300	
Cre07.g313122	
Cre07.g318400	
Cre07.g345950	
Cre07.g348500	
Cre07.g316900	
Cre07.g327333	
Cre07.g347400	
Cre07.g340050	
Cre07.g331250	
Cre07.g347950	
Cre07.g314550	
Cre07.g357486	
Cre07.g321951	NRAMP2
Cre07.g333350	
Cre07.g318000	
Cre07.g325745	
Cre07.g326800	
Cre07.g316350	CSG1
Cre07.g344600	PGD1
Cre07.g333781	
Cre07.g312300	
Cre07.g328250	
Cre07.g335950	
Cre07.g313302	
Cre07.g357300	
Cre07.g318702	
Cre07.g319600	FAE3
Cre07.g338150	RNP1
Cre07.g339100	
Cre07.g357850	RPL22
Cre07.g333150	
Cre07.g352976	
Cre07.g355700	
Cre07.g330750	PHC43
Cre07.g357750	
Cre07.g325650	
Cre07.g319550	
Cre07.g328600	
Cre07.g340400	RSP17
Cre07.g313206	
Cre07.g337150	RFC2
Cre07.g337650	PDC1
Cre07.g349850	
Cre07.g330850	
Cre07.g346200	
Cre07.g325728	
Cre07.g354400	CYP743B2
Cre07.g325721	cyg69
Cre07.g340600	MCP21
Cre07.g339200	
Cre07.g356600	
Cre07.g332150	
Cre07.g317201	
Cre07.g349050	
Cre07.g348400	
Cre07.g351100	
Cre07.g325714	
Cre07.g327000	
Cre07.g356200	
Cre07.g341553	
Cre07.g353200	
Cre07.g344200	
Cre07.g331900	RPS13
Cre07.g354000	
Cre07.g323150	TEH4
Cre07.g316100	
Cre07.g343300	
Cre07.g338550	
Cre07.g336100	
Cre07.g345600	
Cre07.g350300	
Cre07.g331450	
Cre07.g319000	
Cre07.g319226	
Cre07.g350000	TGL14
Cre07.g343466	
Cre07.g345300	UAP1
Cre07.g329767	
Cre07.g329950	
Cre07.g349450	
Cre07.g350500	TSV1
Cre07.g322800	
Cre07.g317800	
Cre07.g351150	FA2
Cre07.g357550	
Cre07.g329783	
Cre07.g325755	
Cre07.g349152	
Cre07.g326200	
Cre07.g334650	
Cre07.g321750	
Cre07.g342200	IFT70
Cre07.g339450	
Cre07.g340700	
Cre07.g348700	
Cre07.g345150	
Cre07.g352450	
Cre07.g343626	
Cre07.g346950	
Cre07.g319350	
Cre07.g340200	PGRL1
Cre07.g333900	NUOA8
Cre07.g352750	MRS3
Cre07.g327850	
Cre07.g341750	
Cre07.g325700	
Cre07.g344771	
Cre07.g351600	HEL40
Cre07.g330350	OPR115
Cre07.g353837	
Cre07.g350600	CSG7
Cre07.g338665	
Cre07.g325725	
Cre07.g325734	FAP340
Cre07.g326600	PDI6
Cre07.g316150	
Cre07.g313650	
Cre07.g322450	hlm13
Cre07.g314200	
Cre07.g313900	
Cre07.g317550	
Cre07.g346450	
Cre07.g330400	KCN1
Cre07.g353350	
Cre07.g336500	OPR114
Cre07.g322050	
Cre07.g339750	HEM2
Cre07.g342402	
Cre07.g333500	
Cre07.g327200	
Cre07.g322500	MRPL19
Cre07.g325709	
Cre07.g342100	
Cre07.g333950	VPS45
Cre07.g314650	RECA
Cre07.g331750	
Cre07.g324100	
Cre07.g344550	
Cre07.g328200	PSBP6
Cre07.g318600	HSP22H
Cre07.g314700	
Cre07.g335850	
Cre07.g316526	
Cre07.g335050	
Cre07.g337300	STD1
Cre07.g325737	
Cre07.g329500	SUB1
Cre07.g315400	NOA2
Cre07.g332901	
Cre07.g356970	
Cre07.g338900	
Cre07.g319900	RRP40
Cre07.g338350	CPLD50
Cre07.g343050	
Cre07.g315650	
Cre07.g335900	
Cre07.g357350	GLB1
Cre07.g357900	
Cre07.g336600	MAN1
Cre07.g334851	HEP1
Cre07.g320100	
Cre07.g324350	
Cre07.g353000	
Cre07.g349950	
Cre07.g337900	
Cre07.g312817	
Cre07.g320400	ELIP4
Cre07.g351300	
Cre07.g344150	
Cre07.g328750	
Cre07.g345700	COQ10
Cre07.g320900	
Cre07.g354301	RDP1
Cre07.g342450	
Cre07.g334575	
Cre07.g331114	
Cre07.g319050	
Cre07.g349750	
Cre07.g343534	
Cre07.g356400	POC7
Cre07.g326300	
Cre07.g325300	
Cre07.g322350	
Cre07.g339550	FBB13
Cre07.g355150	ZRT5
Cre07.g329882	VGK1
Cre07.g325723	ADK1
Cre07.g353700	
Cre07.g332800	
Cre07.g334550	PSAO
Cre07.g343900	
Cre07.g357576	
Cre07.g356700	
Cre07.g316800	
Cre07.g327400	NUO9
Cre07.g341555	
Cre07.g347500	OPR31
Cre07.g323650	
Cre07.g344260	
Cre07.g318350	CGL64
Cre07.g354050	
Cre07.g320950	
Cre07.g347200	
Cre07.g321850	AHA1
Cre07.g317300	MAPKKKK1
Cre07.g349119	
Cre07.g326900	
Cre07.g321350	
Cre07.g332550	PSL1
Cre07.g347100	
Cre07.g323800	
Cre07.g354650	
Cre07.g313050	
Cre07.g351550	
Cre07.g325724	PTP1
Cre07.g326050	KIL8
Cre07.g337700	
Cre07.g355050	
Cre07.g330050	
Cre07.g312050	
Cre07.g343500	
Cre07.g339104	
Cre07.g351350	CSG8
Cre07.g348800	TAB1
Cre07.g339600	
Cre07.g354551	FAP65
Cre07.g334950	
Cre07.g353300	MCP22
Cre07.g350200	
Cre07.g346050	CRD1
Cre07.g342950	
Cre07.g346917	
Cre07.g353650	
Cre07.g317400	
Cre07.g332950	SFA1
Cre07.g312002	
Cre07.g314800	
Cre07.g349540	
Cre07.g318551	
Cre07.g317850	FBB10
Cre07.g352350	FHL3
Cre07.g329700	RPT2
Cre07.g330950	AP4S4
Cre07.g351900	
Cre07.g316450	
Cre07.g327700	
Cre07.g317450	
Cre07.g321250	
Cre07.g316650	
Cre07.g344500	
Cre07.g328800	NSG13
Cre07.g312833	
Cre07.g352850	PRPL32
Cre07.g337125	
Cre07.g331100	PHC11
Cre07.g347600	
Cre07.g339350	
Cre07.g338050	ASA3
Cre07.g335350	
Cre07.g341952	
Cre07.g333050	
Cre07.g326010	
Cre07.g342800	CGL16
Cre07.g343700	OGD2
Cre07.g331500	CLPR3
Cre07.g350700	
Cre07.g336200	
Cre07.g339500	
Cre07.g355433	
Cre07.g353100	
Cre07.g325760	MAW10
Cre07.g319340	
Cre07.g356750	
Cre07.g357950	
Cre07.g322400	
Cre07.g345750	
Cre07.g312650	
Cre07.g344850	
Cre07.g334250	
Cre07.g348600	SULP1
Cre07.g334400	EXN10
Cre07.g324000	
Cre07.g314000	
Cre07.g344050	
Cre07.g353400	
Cre07.g353450	ACS3
Cre07.g325716	DNL1
Cre07.g357200	UGD1
Cre07.g339700	SUFC
Cre07.g341350	
Cre07.g342050	VTI3
Cre07.g330000	
Cre07.g356316	
Cre07.g343650	
Cre07.g312580	
Cre07.g313400	
Cre07.g315750	TEF16
Cre07.g325200	
Cre07.g349100	HEL39
Cre07.g325752	
Cre07.g343101	
Cre07.g318200	CGLD34
Cre07.g326550	
Cre07.g354200	GAP2
Cre07.g329150	
Cre07.g329861	
Cre07.g332066	
Cre07.g319950	
Cre07.g345200	
Cre07.g325710	
Cre07.g330550	
Cre07.g350550	
Cre07.g349300	HEL41
Cre07.g337800	MRPS17
Cre07.g329050	AOC5
Cre07.g355600	NTR3
Cre07.g325731	
Cre07.g332450	
Cre07.g324211	
Cre07.g324450	
Cre07.g346300	
Cre07.g342000	
Cre07.g337450	CGL75
Cre07.g325751	FAP258
Cre07.g357400	
Cre07.g322250	CNX6
Cre07.g346550	
Cre07.g319200	
Cre07.g322600	
Cre07.g320350	CDJ5
Cre07.g332700	
Cre07.g335800	TWI1
Cre07.g328150	PDI4
Cre07.g337000	CSD3
Cre07.g351000	
Cre07.g320500	OPR29
Cre07.g327550	
Cre07.g347300	
Cre07.g355950	
Cre07.g349650	
Cre07.g356850	
Cre07.g319150	PTP4
Cre07.g348010	
Cre07.g322950	NADK1
Cre07.g317601	
Cre07.g325736	
Cre07.g342550	smm28
Cre07.g351050	VPS23
Cre07.g346650	
Cre07.g316400	
Cre07.g319500	
Cre07.g325550	KDG3
Cre07.g314866	EBM4
Cre07.g335700	
Cre07.g314351	
Cre07.g336450	
Cre07.g324550	LDH1
Cre07.g339250	
Cre07.g317000	
Cre07.g330150	
Cre07.g340350	ASA1
Cre07.g357033	
Cre07.g323850	
Cre07.g314450	CGL33B
Cre07.g346850	
Cre07.g321150	CYG15
Cre07.g332350	
Cre07.g341550	P23
Cre07.g315900	
Cre07.g345850	
Cre07.g343567	
Cre07.g327950	MAW9
Cre07.g335250	
Cre07.g352950	
Cre07.g354500	HSF2
Cre07.g318950	
Cre07.g312250	
Cre07.g339926	
Cre07.g334025	
Cre07.g337950	
Cre07.g340300	
Cre07.g325730	
Cre07.g344702	
Cre07.g324222	
Cre07.g348550	TGL13
Cre07.g315150	RBD1
Cre07.g357450	
Cre07.g337200	
Cre07.g333450	
Cre07.g353230	
Cre07.g313164	
Cre07.g325754	
Cre07.g354450	CYP743B3
Cre07.g317626	
Cre07.g355200	ORC5
Cre07.g327650	
Cre07.g325743	GRX3
Cre07.g333605	
Cre07.g336700	
Cre07.g318800	HSP22A
Cre07.g323550	PUS8
Cre07.g358050	
Cre07.g344350	TPP1
Cre07.g336350	
Cre07.g331350	
Cre07.g341900	
Cre07.g345100	
Cre07.g350850	
Cre07.g335600	NAR1.4
Cre07.g325742	
Cre07.g314676	
Cre07.g344950	LHCA9
Cre07.g352000	
Cre07.g313750	
Cre07.g353900	
Cre07.g318450	SEC61B
Cre07.g340900	
Cre07.g357650	
Cre07.g344000	
Cre07.g325759	
Cre07.g349900	
Cre07.g345524	
Cre07.g346698	PHC75
Cre07.g350626	
Cre07.g325980	
Cre07.g336000	
Cre07.g329350	
Cre07.g318250	HLM12
Cre07.g320700	CYG11
Cre07.g317100	
Cre07.g327150	
Cre07.g325718	
Cre07.g325712	
Cre07.g322100	UBQ5
Cre07.g320200	
Cre07.g338650	CSC3
Cre07.g352600	
Cre07.g329300	MSC1
Cre07.g342650	
Cre07.g341153	
Cre07.g349500	
Cre07.g355350	
Cre07.g325101	
Cre07.g327226	
Cre07.g332750	
Cre07.g326100	
Cre07.g341250	
Cre07.g343400	
Cre07.g319701	
Cre07.g330650	
Cre07.g343789	
Cre07.g319850	
Cre07.g341552	
Cre07.g344400	
Cre07.g350100	
Cre07.g350950	
Cre07.g348900	DNJ19
Cre07.g354850	
Cre07.g328900	CDPK9
Cre07.g355850	
